Test: MTS
Test Run: 123_ 13
Date: 13/03/2017 15:51:57


Crosshead 	Load 	Time 	Video Time 	Axial Strain 	Transverse 
0,105276732938364	9,9181201171875	1,28799998760223	4,17609977722168	0,000232482998399064	-7,22850018064491E-05
0,107039173599333	10,0843779296875	1,30799996852875	4,2350001335144	0,000231832993449643	-8,49131974973716E-05
0,108751264633611	10,256287109375	1,32799994945526	4,2350001335144	0,000231832993449643	-8,49131974973716E-05
0,110396213131025	10,4161513671875	1,34800004959106	4,2350001335144	0,000231832993449643	-8,49131974973716E-05
0,112024383270182	10,5698330078125	1,36800003051758	4,35260009765625	0,000252492987783626	-8,1966099969577E-05
0,113669331767596	10,723466796875	1,38800001144409	4,35260009765625	0,000252492987783626	-8,1966099969577E-05
0,115314272989053	10,88186328125	1,40799999237061	4,35260009765625	0,000252492987783626	-8,1966099969577E-05
0,116976007120684	11,039666015625	1,42799997329712	4,35260009765625	0,000252492987783626	-8,1966099969577E-05
0,118671312520746	11,199625	1,44799995422363	4,41139984130859	0,000304616987705231	-6,25831016805023E-05
0,120366617920808	11,358533203125	1,46800005435944	4,41139984130859	0,000304616987705231	-6,25831016805023E-05
0,121994788059965	11,5105537109375	1,48800003528595	4,41139984130859	0,000304616987705231	-6,25831016805023E-05
0,123589372378774	11,652537109375	1,50800001621246	4,47009992599487	0,000324113992974162	-6,28646012046374E-05
0,12521754251793	11,8066220703125	1,52799999713898	4,47009992599487	0,000324113992974162	-6,28646012046374E-05
0,126896047731861	11,9594521484375	1,54799997806549	4,47009992599487	0,000324113992974162	-6,28646012046374E-05
0,128641724586487	12,1277314453125	1,567999958992	4,47009992599487	0,000324113992974162	-6,28646012046374E-05
0,130337022710592	12,2863984375	1,58800005912781	4,52899980545044	0,000335268006892875	-6,89260996296071E-05
0,132065906655043	12,4481611328125	1,60800004005432	4,52899980545044	0,000335268006892875	-6,89260996296071E-05
0,133761190227233	12,6065849609375	1,62800002098084	4,52899980545044	0,000335268006892875	-6,89260996296071E-05
0,135372582008131	12,7649921875	1,64800000190735	4,58790016174316	0,000332586991135031	-6,60832010908052E-05
0,136983959237114	12,9143818359375	1,66799998283386	4,58790016174316	0,000332586991135031	-6,60832010908052E-05
0,138645700644702	13,05733984375	1,68799996376038	4,58790016174316	0,000332586991135031	-6,60832010908052E-05
0,140391348395497	13,2071611328125	1,70799994468689	4,58790016174316	0,000332586991135031	-6,60832010908052E-05
0,142170596518554	13,3696982421875	1,72800004482269	4,70550012588501	0,000344297004630789	-6,66870982968248E-05
0,143899451359175	13,5359130859375	1,74800002574921	4,70550012588501	0,000344297004630789	-6,66870982968248E-05
0,145611556945369	13,6933408203125	1,76800000667572	4,70550012588501	0,000344297004630789	-6,66870982968248E-05
0,147273283801042	13,8465595703125	1,78799998760223	4,76429986953735	0,000413964997278526	-8,53418023325503E-05
0,148901453940198	13,9980009765625	1,80799996852875	4,76429986953735	0,000413964997278526	-8,53418023325503E-05
0,150529609527439	14,1450849609375	1,82799994945526	4,76429986953735	0,000413964997278526	-8,53418023325503E-05
0,152191336383112	14,2965185546875	1,84800004959106	4,76429986953735	0,000413964997278526	-8,53418023325503E-05
0,153903441969305	14,4510556640625	1,86800003051758	4,82320022583008	0,000433195993537083	-9,03569016372785E-05
0,155665868078358	14,6014033203125	1,88800001144409	4,82320022583008	0,000433195993537083	-9,03569016372785E-05
0,157361180754378	14,761	1,90799999237061	4,82320022583008	0,000433195993537083	-9,03569016372785E-05
0,159006129251793	14,9079228515625	1,92799997329712	4,8818998336792	0,000445428013335913	-9,43343984545209E-05
0,160684663569555	15,062033203125	1,94799995422363	4,8818998336792	0,000445428013335913	-9,43343984545209E-05
0,162379961693659	15,2173134765625	1,96800005435944	4,8818998336792	0,000445428013335913	-9,43343984545209E-05
0,164058481459506	15,36671875	1,98800003528595	4,8818998336792	0,000445428013335913	-9,43343984545209E-05
0,165753779583611	15,5035205078125	2,00799989700317	4,9407000541687	0,000439964001998305	-9,71713016042486E-05
0,167449092259631	15,65558984375	2,02800011634827	4,9407000541687	0,000439964001998305	-9,71713016042486E-05
0,169161168741994	15,8107607421875	2,04800009727478	4,9407000541687	0,000439964001998305	-9,71713016042486E-05
0,170806131791323	15,9567392578125	2,06800007820129	5,05840015411377	0,00043844900210388	-9,69535030890256E-05
0,172467858646996	16,1018125	2,08800005912781	5,05840015411377	0,00043844900210388	-9,69535030890256E-05
0,174129585502669	16,2523173828125	2,10800004005432	5,05840015411377	0,00043844900210388	-9,69535030890256E-05
0,175791326910257	16,397439453125	2,12800002098084	5,05840015411377	0,00043844900210388	-9,69535030890256E-05
0,17740270413924	16,539810546875	2,14800000190735	5,11719989776611	0,000485494005260989	-0,000112405999971088
0,178963731741533	16,6740703125	2,16799998283386	5,11719989776611	0,000485494005260989	-0,000112405999971088
0,180507966433652	16,8064453125	2,18799996376038	5,11719989776611	0,000485494005260989	-0,000112405999971088
0,182119343662634	16,9401171875	2,20799994468689	5,17609977722168	0,000525809999089688	-0,000119313997856807
0,183797863428481	17,08853515625	2,2279999256134	5,17609977722168	0,000525809999089688	-0,000119313997856807
0,185543525731191	17,240822265625	2,24799990653992	5,17609977722168	0,000525809999089688	-0,000119313997856807
0,187322744750418	17,39240625	2,26799988746643	5,17609977722168	0,000525809999089688	-0,000119313997856807
0,189135549589992	17,549720703125	2,28800010681152	5,23489999771118	0,000548914016690105	-0,000118541000119876
0,190881226444617	17,701302734375	2,30800008773804	5,23489999771118	0,000548914016690105	-0,000118541000119876
0,192576524568722	17,849322265625	2,32800006866455	5,23489999771118	0,000548914016690105	-0,000118541000119876
0,194221473066136	17,988978515625	2,34800004959106	5,29360008239746	0,000556157028768212	-0,000114843998744618
0,195916771190241	18,133470703125	2,36800003051758	5,29360008239746	0,000556157028768212	-0,000114843998744618
0,197595305508003	18,27755859375	2,38800001144409	5,29360008239746	0,000556157028768212	-0,000114843998744618
0,199273810721934	18,4161015625	2,40799999237061	5,29360008239746	0,000556157028768212	-0,000114843998744618
0,200969108846039	18,525328125	2,42799997329712	5,35249996185303	0,000536828010808676	-0,000124155005323701
0,202681214432232	18,6385546875	2,44799995422363	5,35249996185303	0,000536828010808676	-0,000124155005323701
0,204309370019473	18,75985546875	2,46799993515015	5,35249996185303	0,000536828010808676	-0,000124155005323701
0,205971111427061	18,88033984375	2,48799991607666	5,47009992599487	0,000533175014425069	-0,000129697000375018
0,207632838282734	19,005337890625	2,50799989700317	5,47009992599487	0,000533175014425069	-0,000129697000375018
0,209328150958754	19,1330703125	2,52800011634827	5,47009992599487	0,000533175014425069	-0,000129697000375018
0,211023449082859	19,255806640625	2,54800009727478	5,47009992599487	0,000533175014425069	-0,000129697000375018
0,212668397580273	19,370875	2,56800007820129	5,52890014648438	0,000590958981774747	-0,0001224879961228
0,214279774809256	19,495916015625	2,58800005912781	5,52890014648438	0,000590958981774747	-0,0001224879961228
0,215891152038239	19,614611328125	2,60800004005432	5,52890014648438	0,000590958981774747	-0,0001224879961228
0,217552878893912	19,730333984375	2,62800002098084	5,58780002593994	0,000615604978520423	-0,00013128700084053
0,219181049033068	19,847478515625	2,64800000190735	5,58780002593994	0,000615604978520423	-0,00013128700084053
0,220792426262051	19,957376953125	2,66799998283386	5,58780002593994	0,000615604978520423	-0,00013128700084053
0,222437374759465	20,07634375	2,68799996376038	5,58780002593994	0,000615604978520423	-0,00013128700084053
0,224115894525312	20,20488671875	2,70799994468689	5,64659976959229	0,000616503995843232	-0,000140379997901618
0,225693700485863	20,322357421875	2,7279999256134	5,64659976959229	0,000616503995843232	-0,000140379997901618
0,227170807193033	20,426333984375	2,74799990653992	5,64659976959229	0,000616503995843232	-0,000140379997901618
0,228681470616721	20,532841796875	2,76799988746643	5,70539999008179	0,00061061599990353	-0,000157403002958745
0,230242483667098	20,64783203125	2,78800010681152	5,70539999008179	0,00061061599990353	-0,000157403002958745
0,231820304179564	20,76512890625	2,80800008773804	5,70539999008179	0,00061061599990353	-0,000157403002958745
0,233482031035237	20,884912109375	2,82800006866455	5,70539999008179	0,00061061599990353	-0,000157403002958745
0,235210914979689	21,010822265625	2,84800004959106	5,82299995422363	0,000591340009123087	-0,000157349000801332
0,236956562730484	21,130724609375	2,86800003051758	5,82299995422363	0,000591340009123087	-0,000157349000801332
0,238702239585109	21,25026953125	2,88800001144409	5,82299995422363	0,000591340009123087	-0,000157349000801332
0,24043109442573	21,366169921875	2,90799999237061	5,8818998336792	0,000629925983957946	-0,000143893994390965
0,242193549638614	21,49191796875	2,92799997329712	5,8818998336792	0,000629925983957946	-0,000143893994390965
0,243972783209756	21,615607421875	2,94799995422363	5,8818998336792	0,000629925983957946	-0,000143893994390965
0,245701667154208	21,7308515625	2,96799993515015	5,8818998336792	0,000629925983957946	-0,000143893994390965
0,247380172368139	21,84575	2,98799991607666	5,9407000541687	0,000656714022625238	-0,000160355994012207
0,249025120865554	21,954314453125	3,00799989700317	5,9407000541687	0,000656714022625238	-0,000160355994012207
0,250670069362968	22,06096484375	3,02800011634827	5,9407000541687	0,000656714022625238	-0,000160355994012207
0,25234860368073	22,17653515625	3,04800009727478	5,99959993362427	0,000684423022903502	-0,000170839004567824
0,254027108894661	22,29006640625	3,06800007820129	5,99959993362427	0,000684423022903502	-0,000170839004567824
0,255688850302249	22,402568359375	3,08800005912781	5,99959993362427	0,000684423022903502	-0,000170839004567824
0,257367384620011	22,51534375	3,10800004005432	5,99959993362427	0,000684423022903502	-0,000170839004567824
0,259012304013595	22,629255859375	3,12800002098084	6,05830001831055	0,000699102005455643	-0,000179009002749808
0,260623695794493	22,7350703125	3,14800000190735	6,05830001831055	0,000699102005455643	-0,000179009002749808
0,262218294665217	22,84601953125	3,16799998283386	6,05830001831055	0,000699102005455643	-0,000179009002749808
0,263880006968975	22,960591796875	3,18799996376038	6,17600011825562	0,000689895998220891	-0,000183586002094671
0,2656256838236	23,082576171875	3,20799994468689	6,17600011825562	0,000689895998220891	-0,000183586002094671
0,267320981947705	23,203482421875	3,2279999256134	6,17600011825562	0,000689895998220891	-0,000183586002094671
0,269033072981983	23,325337890625	3,24799990653992	6,17600011825562	0,000689895998220891	-0,000183586002094671
0,270745164016262	23,44759765625	3,26799988746643	6,23479986190796	0,000729050021618605	-0,000177020003320649
0,272390141617507	23,563333984375	3,28800010681152	6,23479986190796	0,000729050021618605	-0,000177020003320649
0,274018297204748	23,674388671875	3,30800008773804	6,23479986190796	0,000729050021618605	-0,000177020003320649
0,275713595328853	23,7921171875	3,32800006866455	6,29360008239746	0,000774401007220149	-0,000181579001946375
0,277476035989821	23,913787109375	3,34800004959106	6,29360008239746	0,000774401007220149	-0,000181579001946375
0,279272062471136	24,041595703125	3,36800003051758	6,29360008239746	0,000774401007220149	-0,000181579001946375
0,281034503132105	24,167927734375	3,38800001144409	6,29360008239746	0,000774401007220149	-0,000181579001946375
0,28272980125621	24,29172265625	3,40799999237061	6,3523998260498	0,00079588801600039	-0,000179224996827543
0,284408306470141	24,406998046875	3,42799997329712	6,3523998260498	0,00079588801600039	-0,000179224996827543
0,286036491161212	24,521787109375	3,44799995422363	6,3523998260498	0,00079588801600039	-0,000179224996827543
0,287664646748453	24,63208203125	3,46799993515015	6,41120004653931	0,000792394974268973	-0,000185060998774134
0,289309595245868	24,74593359375	3,48799991607666	6,41120004653931	0,000792394974268973	-0,000185060998774134
0,290971307549626	24,85944140625	3,50799989700317	6,41120004653931	0,000792394974268973	-0,000185060998774134
0,292700191494077	24,9722421875	3,52800011634827	6,41120004653931	0,000792394974268973	-0,000185060998774134
0,294412282528356	25,095169921875	3,54800009727478	6,47009992599487	0,000772637024056166	-0,000199478003196418
0,296040438115597	25,206671875	3,56800007820129	6,47009992599487	0,000772637024056166	-0,000199478003196418
0,297718972433358	25,318705078125	3,58800005912781	6,47009992599487	0,000772637024056166	-0,000199478003196418
0,299431063467637	25,436693359375	3,60800004005432	6,58769989013672	0,000774380983784795	-0,000203339994186535
0,301126361591741	25,550552734375	3,62800002098084	6,58769989013672	0,000774380983784795	-0,000203339994186535
0,302855245536193	25,673349609375	3,64800000190735	6,58769989013672	0,000774380983784795	-0,000203339994186535
0,304584129480645	25,787671875	3,66799998283386	6,58769989013672	0,000774380983784795	-0,000203339994186535
0,306296191411093	25,90489453125	3,68799996376038	6,64650011062622	0,00083637802163139	-0,000210436002817005
0,307974725728855	26,01476953125	3,70799994468689	6,64650011062622	0,00083637802163139	-0,000210436002817005
0,309619674226269	26,12583984375	3,7279999256134	6,64650011062622	0,00083637802163139	-0,000210436002817005
0,3112981794402	26,23826171875	3,74799990653992	6,70529985427856	0,00085666700033471	-0,000208476005354896
0,312943127937615	26,346703125	3,76799988746643	6,70529985427856	0,00085666700033471	-0,000208476005354896
0,314504170091823	26,447365234375	3,78800010681152	6,70529985427856	0,00085666700033471	-0,000208476005354896
0,316081976052374	26,550669921875	3,80800008773804	6,70529985427856	0,00085666700033471	-0,000208476005354896
0,317626196192577	26,648958984375	3,82800006866455	6,76410007476807	0,000848551979288459	-0,000207650999072939
0,319187238346785	26,74965234375	3,84800004959106	6,76410007476807	0,000848551979288459	-0,000207650999072939
0,3208321868442	26,86091796875	3,86800003051758	6,76410007476807	0,000848551979288459	-0,000207650999072939
0,322527484968305	26,967701171875	3,88800001144409	6,82289981842041	0,000823898997623473	-0,000196316002984531
0,324239576002583	27,07775	3,90799999237061	6,82289981842041	0,000823898997623473	-0,000196316002984531
0,326002045767382	27,19887109375	3,92799997329712	6,82289981842041	0,000823898997623473	-0,000196316002984531
0,32776448642835	27,319328125	3,94799995422363	6,82289981842041	0,000823898997623473	-0,000196316002984531
0,329493341268972	27,429505859375	3,96799993515015	6,94059991836548	0,000827262992970645	-0,000190177001059055
0,33120543230325	27,54195703125	3,98799991607666	6,94059991836548	0,000827262992970645	-0,000190177001059055
0,332917523337528	27,655939453125	4,00799989700317	6,94059991836548	0,000827262992970645	-0,000190177001059055
0,33464640728198	27,773005859375	4,02799987792969	6,99949979782104	0,000899620004929602	-0,000225540003157221
0,336324912495911	27,87636328125	4,0479998588562	6,99949979782104	0,000899620004929602	-0,000225540003157221
0,338037003530189	27,982517578125	4,06799983978271	6,99949979782104	0,000899620004929602	-0,000225540003157221
0,339749094564468	28,094421875	4,08799982070923	6,99949979782104	0,000899620004929602	-0,000225540003157221
0,341444392688572	28,201955078125	4,10799980163574	7,05819988250732	0,000932981027290225	-0,000230213001486845
0,343122927006334	28,302646484375	4,12799978256226	7,05819988250732	0,000932981027290225	-0,000230213001486845
0,344801432220265	28,406361328125	4,14799976348877	7,05819988250732	0,000932981027290225	-0,000230213001486845
0,346479966538027	28,515576171875	4,16800022125244	7,11709976196289	0,000936797994654626	-0,000227854994591326
0,348192028468475	28,61759765625	4,18800020217896	7,11709976196289	0,000936797994654626	-0,000227854994591326
0,349820184055716	28,722626953125	4,20800018310547	7,11709976196289	0,000936797994654626	-0,000227854994591326
0,351398019120097	28,8175546875	4,22800016403198	7,11709976196289	0,000936797994654626	-0,000227854994591326
0,352959032170475	28,91142578125	4,2480001449585	7,17589998245239	0,000920747988857329	-0,000232934005907737
0,354553631041199	29,004287109375	4,26800012588501	7,17589998245239	0,000920747988857329	-0,000232934005907737
0,356148229911923	29,103267578125	4,28800010681152	7,17589998245239	0,000920747988857329	-0,000232934005907737
0,357759592588991	29,2026796875	4,30800008773804	7,29349994659424	0,000926645996514708	-0,000236103005590849
0,359387777280062	29,306052734375	4,32800006866455	7,29349994659424	0,000926645996514708	-0,000236103005590849
0,36104948958382	29,398087890625	4,34800004959106	7,29349994659424	0,000926645996514708	-0,000236103005590849
0,362627324648201	29,5033828125	4,36800003051758	7,29349994659424	0,000926645996514708	-0,000236103005590849
0,364104431355372	29,5934765625	4,38800001144409	7,3523998260498	0,000987741048447788	-0,000230638994253241
0,365581508958712	29,679041015625	4,40799999237061	7,3523998260498	0,000987741048447788	-0,000230638994253241
0,367125758202747	29,77013671875	4,42799997329712	7,3523998260498	0,000987741048447788	-0,000230638994253241
0,368720357073471	29,863220703125	4,44799995422363	7,41120004653931	0,00100678997114301	-0,000237397995078936
0,370348512660712	29,96121484375	4,46799993515015	7,41120004653931	0,00100678997114301	-0,000237397995078936
0,37201022496447	30,061203125	4,48799991607666	7,41120004653931	0,00100678997114301	-0,000237397995078936
0,373688759282231	30,159896484375	4,50799989700317	7,41120004653931	0,00100678997114301	-0,000237397995078936
0,37540085031651	30,266189453125	4,52799987792969	7,46999979019165	0,000998956034891307	-0,000251123012276366
0,377129734260961	30,371666015625	4,5479998588562	7,46999979019165	0,000998956034891307	-0,000251123012276366
0,378892145818099	30,478109375	4,56799983978271	7,46999979019165	0,000998956034891307	-0,000251123012276366
0,380688201403245	30,585357421875	4,58799982070923	7,52890014648438	0,000988953979685903	-0,000260203989455476
0,382467405870557	30,700970703125	4,60799980163574	7,52890014648438	0,000988953979685903	-0,000260203989455476
0,384196289815009	30,803087890625	4,62799978256226	7,52890014648438	0,000988953979685903	-0,000260203989455476
0,38587479502894	30,904853515625	4,64799976348877	7,52890014648438	0,000988953979685903	-0,000260203989455476
0,387519743526354	31,003890625	4,66800022125244	7,64650011062622	0,0009884899482131	-0,000250271987169981
0,389215041650459	31,10833203125	4,68800020217896	7,64650011062622	0,0009884899482131	-0,000250271987169981
0,390910368878394	31,2015	4,70800018310547	7,64650011062622	0,0009884899482131	-0,000250271987169981
0,392605667002499	31,332609375	4,72800016403198	7,7052001953125	0,00103434000629932	-0,000264812988461927
0,394300965126604	31,435541015625	4,7480001449585	7,7052001953125	0,00103434000629932	-0,000264812988461927
0,395945913624018	31,537736328125	4,76800012588501	7,7052001953125	0,00103434000629932	-0,000264812988461927
0,397540512494743	31,614037109375	4,78800010681152	7,7052001953125	0,00103434000629932	-0,000264812988461927
0,399118347559124	31,695681640625	4,80800008773804	7,76410007476807	0,00105307996273041	-0,000264072004938498
0,400746503146365	31,7719453125	4,82800006866455	7,76410007476807	0,00105307996273041	-0,000264072004938498
0,402458565076813	31,85667578125	4,84800004959106	7,76410007476807	0,00105307996273041	-0,000264072004938498
0,404170656111091	31,9474140625	4,86800003051758	7,82289981842041	0,00105805997736752	-0,000271152006462216
0,40583239751868	32,04276953125	4,88800001144409	7,82289981842041	0,00105805997736752	-0,000271152006462216
0,407527724746615	32,123771484375	4,90799999237061	7,82289981842041	0,00105805997736752	-0,000271152006462216
0,409189437050372	32,2076875	4,92799997329712	7,82289981842041	0,00105805997736752	-0,000271152006462216
0,410784035921097	32,288923828125	4,94799995422363	7,88170003890991	0,00103677995502949	-0,000276175007456914
0,412445748224854	32,3735078125	4,96799993515015	7,88170003890991	0,00103677995502949	-0,000276175007456914
0,414208217989653	32,462263671875	4,98799991607666	7,88170003890991	0,00103677995502949	-0,000276175007456914
0,416037801187485	32,56449609375	5,00799989700317	7,99940013885498	0,00103778997436166	-0,000280167994787917
0,417867384385318	32,668720703125	5,02799987792969	7,99940013885498	0,00103778997436166	-0,000280167994787917
0,419613032136112	32,76241796875	5,0479998588562	7,99940013885498	0,00103778997436166	-0,000280167994787917
0,421291566453874	32,853359375	5,06799983978271	7,99940013885498	0,00103778997436166	-0,000280167994787917
0,422953307861462	32,94186328125	5,08799982070923	8,05819988250732	0,00108415994327515	-0,000264776987023652
0,424581463448703	33,0210703125	5,10799980163574	8,05819988250732	0,00108415994327515	-0,000264776987023652
0,426226411946118	33,11112890625	5,12799978256226	8,05819988250732	0,00108415994327515	-0,000264776987023652
0,42790494626388	33,19665625	5,14799976348877	8,11699962615967	0,00111141998786479	-0,000280431006103754
0,429617008194327	33,2924453125	5,16800022125244	8,11699962615967	0,00111141998786479	-0,000280431006103754
0,431362685048953	33,3936484375	5,18800020217896	8,11699962615967	0,00111141998786479	-0,000280431006103754
0,433007633546367	33,48116796875	5,20800018310547	8,11699962615967	0,00111141998786479	-0,000280431006103754
0,434669374953955	33,566734375	5,22800016403198	8,17580032348633	0,0011077499948442	-0,000314722012262791
0,436331087257713	33,65455078125	5,2480001449585	8,17580032348633	0,0011077499948442	-0,000314722012262791
0,438009621575475	33,74919140625	5,26800012588501	8,17580032348633	0,0011077499948442	-0,000314722012262791
0,439704919699579	33,84226953125	5,28800010681152	8,23470020294189	0,00109697005245835	-0,000317466998239979
0,441417010733858	33,930453125	5,30800008773804	8,23470020294189	0,00109697005245835	-0,000317466998239979
0,443145865574479	34,0198828125	5,32800006866455	8,23470020294189	0,00109697005245835	-0,000317466998239979
0,444841163698584	34,1159921875	5,34800004959106	8,23470020294189	0,00109697005245835	-0,000317466998239979
0,446519698016346	34,20186328125	5,36800003051758	8,29349994659424	0,00109944003634155	-0,00030186100048013
0,44821499614045	34,2877109375	5,38800001144409	8,29349994659424	0,00109944003634155	-0,00030186100048013
0,449893530458212	34,373171875	5,40799999237061	8,29349994659424	0,00109944003634155	-0,00030186100048013
